label,text
징계문책,한국지역난방공사 사장은 태백 바이오매스 발전사업의 신규투자를 검토하면서 주식회사 [가마]의 설립·출자 여부를 결정하기 위한 사업타당성 분석 업무를 부당하게 처리한 B를 인사규정(한국지역난방공사 사규) 제29조에 따라 징계처분(경징계 이상)하시기 바람(문책)
징계문책,사립학교교직원연금공단 이사장에게 재정추계시스템 구축 용역 검사 등을 부당하게 처리한 한 O를 '인사규정' 제38조에 따라 징계처분(경징계 이상)하도록 문책요구
인사자료통보,사립학교교직원연금공단 이사장에게 재정추계시스템 구축 용역 검사 등을 부당하게 처리한 N의 비위내용을 통보하면서 사립학교교직원연금공단이 해당 비위내용을 N의 현 소속기관인 공무원연금공단에게 통보하여 인사자료로 활용될 수 있게 하도록 인사자료 통보
징계문책,"한국수자원공사 사장은 “바정수장 배출수처리시설 덮개 제조구매설치” 관련 허위 자료에 기초하여 고가의 계약이 체결되게 하고, 계약기간 연장 업무를 부당하게 처리한 S, T 및 U를 한국수자원공사 '인사규정' 제45조에 따라 징계처분(경징계 이상)하시기 바람"
징계문책,서울특별시장은 난지물재생센터 반류수조 덮개 제작·설치 계약의 계약상대자 결정 및 계약 관리업무를 부당하게 처리한 E를 '지방공무원법' 제72조에 따라 징계처분(경징계 이상)하시기 바람
징계문책,"남양주시장은 주식회사 나다워터로 하여금 성과품이 제출되지 않았는데도 대수선 공사 실시설계 용역을 준공처리하도록 하고 특정 신기술·특정공법 선정 절차를 거치지 아니한 채 특정 제품이 반영된 설계서를 받도록 지시하는 등 대수선 공사 실시설계용역 업무를 부당하게 처리한 AB를, A의 청탁을 받고 이에 따라 국고보조금인 한강수계관리기금을 거짓으로 신청하여 과다 수급한 AL을, AL의 업무에 대하여 지도 감독을 소홀히 하고 이에 동조하여 한강수계관리기금 추가 요청 업무를 부당하게 수행한 AI를, 반응조 산기관 교체공사의 설계금액을 부당하게 증액하여 주식회사 나다워터로 하여금 주식회사 가가와 고가계약을 체결하게 함으로써 남양주시와 국가 예산을 낭비하게 한 AM을 각각 '지방공무원법' 제72조 및 '부정청탁 및 금품등 수수의 금지에 관한 법률' 제21조(AL에 대해서만 적용)에 따라 징계처분(AB·AM: 정직, AL·AI: 경징계 이상)하시기 바람"
징계문책,부산광역시 북구청장은 이 건 제1종 근린생활시설에서 자원순환 관련 시설로 변경하는 용도변경 허가 업무를 부당하게 처리한 E를 '지방공무원법' 제72조에 따라 징계처분(경징계 이상)하시기 바람
징계문책,부산광역시장은 이 건 제1종 근린생활시설 용도의 건축물 사용승인과 자원순환 관련 시설로 변경하는 용도변경 허가 업무를 부당하게 처리한 C를 '지방공무원법' 제72조에 따라 징계처분(경징계 이상)하시기 바람
인사자료통보,"군인공제회 이사장에게 AK의 행위는 엄중한 인사조치가 필요하다고 판단되나, AK는 2024. 10. 31. 퇴직한 바 있어 그 비위내용을 통보하고 군인공제회 이사장은 재취업 등을 위한 인사자료로 활용하도록 통보"
징계문책,"- 세종문화재단 가팀 과장 A, 가팀 팀장 B, 나본부장 C는 대표이사 공개모집 공고문 등에 따라 면접대상자가 작성한 자기검증기술서를 임추위에 면접심사자료로 제공하여야 하는데도 제공하지 않았음 - 또한, B는 임추위가 자기검증기술서를 제공받아 후보자 자질검증을 한 것처럼 보도자료 초안을 작성하여 세종시에 제출하는 등 사실과 다른 내용의 보도자료와 해명자료가 배포되도록 함"
징계문책,"부산항 신항 태양전지 모듈구매 변경계약 업무를 부당하게 처리한 V, W, X 등 3명을 한국남부발전주식회사 상벌규정 제5조 등에 따라 징계처분(경징계 이상)하시기 바랍니다."
징계문책,"스웨덴 풍력발전 사업의 사업성 검토 등 업무를 소홀히 한 E, G, F와 사업 총괄업무를 소홀히 한 D 등 4명을 한국서부발전주식회사 인사관리규정 제147조 등에 따라 징계처분(경징계 이상)하시기 바랍니다."
징계문책,"바파주식회사에 대한 “태안발전소 매립회 재활용 반출” 용역 벌과금을 부당하게 면제한 AW, AY 등 2명을 한국서부발전주식회사 '인사관리규정' 제147조 등에 따라 징계처분(경징계 이상)하시기 바랍니다."
징계문책,부산지방국세청장에게 상속세 조사업무를 부당하게 처리한 K를 '국가공무원법' 제82조에 따라 징계처분(경징계 이상) 요구
징계문책,"부산지방국세청장에게 세무조사업무를 부당하게 처리한 D, E를 '국가공무원법' 제82조에 따라 징계처분(D: 정직, E: 경징계 이상) 요구"
징계문책,"오사카 엑스포 한국관 설계용역사의 기본설계가 부실한데도 시정조치 없이 인수한 후 대가를 지급하였고, 설계용역사가 준공기한까지 실시설계를 완료하지 못할 것으로 판단되자 일본 현지업체를 통해 실시설계도서를 납품받고도 설계용역사와 6억 원을 증액·지급하는 변경계약 체결 등"
인사자료통보,"오사카 엑스포 한국관 설계용역사의 기본설계가 부실한데도 시정조치 없이 인수한 후 대가를 지급하였고, 설계용역사가 준공기한까지 실시설계를 완료하지 못할 것으로 판단되자 일본 현지업체를 통해 실시설계도서를 납품받고도 설계용역사와 6억 원을 증액·지급하는 변경계약 체결 등"
징계문책,해양수산부장관에게 서귀포항 항만시설 보강공사의 설계변경 승인 등 공사관리 업무를 태만히 한 E를 '국가공무원법' 제82조에 따라 징계처분(경징계 이상)하도록 요구
징계문책,"특허청은 조사원 수 등을 기준으로 전문기관에 선행기술조사 사업물량 배분하면서 국내출원의 경우 ′15년 및 ′16년 특허정보진흥센터에 4,066건, 13억여 원 상당 물량을, 국제출원의 경우 ′15년에는 (주)▽▽에 749건, 5억여 원, ′16년에는 특허정보진흥센터에 407건, 2억여 원 상당의 물량이 불공정하게 배분"
징계문책,대구 동구는 '15. 2. 10. 관내 건물(면적: 164㎡)에 청소년 이용불가 게임물을 제공할 수 있는 일반게임제공업 영업허가 신청 민원을 접수받아 이를 처리하면서 허가 업무 담당자가 허가신청 민원의 첨부서류인 ‘게임관련업 영업시설·기구 및 설비개요서’에 허가 신청대상 건물이 주거지역에 위치하고 있는 것으로 기재되어 있는데도 일반게임제공업을 허가하여 담당자에게 징계요구
징계문책,"상주시는 관내 토지 2필지(면적: 14,580㎡)와 관련하여 벌채허가 및 산지 일시사용신고 없이 소나무 등을 벌채하고 조경수(느티나무) 재배지로 조성한 불법행위를 조사·복구하는 업무를 처리하면서 복구비를 과소하여 산정하였고 복구설계서 없이 조경수(느티나무)가 식재되어 있는 상태 그대로 복구 준공을 승인처리하여 담당자에게 징계요구"
징계문책,"상주시는 '14. 11. 27. 및 같은 해 12. 29. 농지전용허가 신청을 접수받아 처리하면서 면적제한 기준을 제대로 확인하지 아니하고 '14. 11. 27. 및 '15. 2. 27. 각각 기준면적을 3,683㎡, 706㎡ 초과한 전체 신청면적에 대하여 전용허가(의제) 처리하는 등 총4,389㎡의 농지를 부당하게 전용허가 하여 담당자에 대한 징계요구"
인사자료통보,동북아역사재단 전 사무총장 P는 인사위원회 담당자에게 자격요건을 변경하여 본인 비서로 근무중인 O가 응모할수 있도록 하고 응모자와 특별한 관계(상·하급자) 시 기피하겠다고 서약했는데도 채용 전형위원장 업무를 계속 수행하면서 O에 대한 평가를 불공정하게 수행하여 당초 자격요건에 미달하는 O가 채용됨
