label,text
고발,"한국산업은행 ㄱㄹ주재원 A는 '14. 2월부터 '16. 9월까지 출장비 등 일반관리비를 집행하면서 허위의 수령증과 영수증을 이용하여 444회에 걸쳐 총 238,884.6위안(40,247,270원)을 횡령하고 본인 급여통장에 입금하거나 지인과 식사비에 지출하는 등 개인적인 용도로 사용"
모범,버스승강장 등에 반사지 부착으로 안전사고 예방에 기여적극적이고 창의적인 발상으로 적은 비용으로 버스.택시 승강장 등에 시 심볼을 새긴 고휘도 반사지 부착을 추진하여 안전사고 예방 및 도시 이미지 제고에 기여한 공적이 있다고 인정되어 감사원장의 표창대상자로 선정
변상,직원숙소 임대차계약 업무 처리 태만전북지방노동위원회 직원숙소 임차계약 시 채권확보조치 등을 하지 않아 임의경매에 따라 전세보증금 일부를 회수하지 못하게 되어 국가에 손해를 끼친 책임에 대해 담당자들에게 변상판정함
시정(금액),명예퇴직 수당 환수업무 부적정국군재정관리단은 환수 대상자를 누락하여 2021년 퇴직 후 같은 해 재임용된 군무원의 명예퇴직수당 0.9억 원을 미환수하고 있는 등 명예퇴직 수당 환수업무 부적정
시정(기타),LED가로등 교체사업 협약 체결 업무 등 부적정LED가로등 설치공사와 관련하여 안전인증을 받은 것과 다르게 전력공급장치(SMPS)를 설치하여 협약상의 의무를 이행하지 못한 업체에 대해서는 「지능형 디밍시스템 설치 및 LED가로등 교체사업 협약서」제5조 제2항의 약정에 따라 당초 안전인증을 받은 전력공급장치(SMPS)로 재설치하도록 함
인사자료통보,사립학교교직원연금공단 이사장에게 재정추계시스템 구축 용역 검사 등을 부당하게 처리한 N의 비위내용을 통보하면서 사립학교교직원연금공단이 해당 비위내용을 N의 현 소속기관인 공무원연금공단에게 통보하여 인사자료로 활용될 수 있게 하도록 인사자료 통보
주의,"비용 과소 적용으로 경제성 없는 출자회사에 투자 ①한국지역난방공사 사장은 ① 태백 바이오매스 발전사업의 신규투자를 검토하면서 주식회사 [가마] 의 설립·출자 여부를 결정하기 위한 사업타당성 분석 업무를 부당하게 처리한 B를 인사규정(한국지역난방공사 사규) 제29조에 따라 징계처분(경징계 이상)하고(문책) ② 주식회사 [가마]의 사업타당성 분석 업무를 소홀히 한 관련자(C, D)에게는 주의를 촉구(주의)"
징계문책,한국지역난방공사 사장은 태백 바이오매스 발전사업의 신규투자를 검토하면서 주식회사 [가마]의 설립·출자 여부를 결정하기 위한 사업타당성 분석 업무를 부당하게 처리한 B를 인사규정(한국지역난방공사 사규) 제29조에 따라 징계처분(경징계 이상)하시기 바람(문책)
통보권고,열수송관 관리 미흡한국지역난방공사 사장은 각 지사에서 열공급을 할 때 계통수 손실과 열수송관 누수 사고를 예방할 수 있도록 열수송관 감시시스템을 활용하여 누수 의심 구간에 대한 점검·진단을 강화하고 누수가 있을 시 적기에 보수하는 방안을 마련(통보)
고발,전라북도교육감은 2013년 상반기 및 2015년 상반기 근무성적평정 등 승진인사에 개입하여 자신이 원하는 직원을 승진시키기 위해 승진후보자 명부상 순위를 임의로 정하고 부하직원에게 자신이 정한대로 근무성적평정을 정하도록 지시하는 등 교육감이 정한 순위에 거꾸로 근무성적평정 서류를 작성하도록 하여 승진인사에 부당 개입 및 직권남용
모범,CCTV에 범죄예방 환경디자인 적용으로 범죄발생 예방에 기여적극적이고 창의적인 발상으로 방범용 CCTV에 범죄예방 환경디자인을 적용하여 범죄발생 예방에 기여한 공적이 있다고 인정하여 감사원장의 표창대상자로 선정
변상,"법원의 채권압류 및 전부명령 후속업무 부당 처리Y,Z,AA는 중대한 과실로 경기도교육청에 291,633,970원의 손해를 끼쳤고 1:1:1의 책임비율로 각각 97,211,320원씩 변상할 책임이 있으나 신원보증보험금을 통해 손해액이 전핵 보전되어 경기도교육청에 더이상 변상할 금액이 없음"
시정(금액),"특정법인과 거래를 통한 이익의 증여의제 혐의에 대한 세무조사결과 부당 처리부산지방국세청장에게 '상속세 및 증여세법' 제76조 제1항에 따라 특정법인의 지배주주 A로부터 무신고한 증여세 1,375,052,516원(가산세 포함)을 추가 징수토록 시정요구"
시정(기타),영구임대주택을 육상선수단 숙소로 부당 사용서울주택도시공사는 1996년부터 2016년 11월 현재까지 저소득 취약계층에게 공급해야 할 영구임대주택5호를 입주 자격이 없는 위 공사 소속의 육상선수단 숙소로 부당 사용
인사자료통보,"군인공제회 이사장에게 AK의 행위는 엄중한 인사조치가 필요하다고 판단되나, AK는 2024. 10. 31. 퇴직한 바 있어 그 비위내용을 통보하고 군인공제회 이사장은 재취업 등을 위한 인사자료로 활용하도록 통보"
주의,열공급 체계 환류 미흡한국지역난방공사 사장은 앞으로 열수요예측 정확도가 높아지지 않았는데도 마치 업무를 개선하여 향상된 것처럼 내·외부에 보고하는 일이 없도록 업무를 철저히 하고 관련자(A)에게는 주의를 촉구(주의)
징계문책,사립학교교직원연금공단 이사장에게 재정추계시스템 구축 용역 검사 등을 부당하게 처리한 한 O를 '인사규정' 제38조에 따라 징계처분(경징계 이상)하도록 문책요구
통보권고,"열공급 체계 환류 미흡한국지역난방공사 사장은 열수요예측의 정확도 향상을 위하여 오차율 산정 방식을 전체 지사 합계 기준이 아닌 2019년 이전 방식(지사별 산정 방식)으로 변경하는 등 분석을 합리적으로 하고, 산정 방식을 변경할 때에는 변경 사유와 전·후 통계 변화를 투명하게 공개하는 등 열공급 체계의 환류를 개선하는 방안을 마련(통보)"
고발,"부산광역시 소속기관의 전 분임재무관 및 출납원의 보조자가 소득세 원천징수액 등을 공금예금계좌가 아닌 보통예금계좌로 이체한 후 인출,송금하는 등의 방법으로 17회에 걸쳐 횡령하여, 해당 직원에 대해 고발조치"
