label,text
고발,"한국산업은행 ㄱㄹ주재원 A는 '14. 2월부터 '16. 9월까지 출장비 등 일반관리비를 집행하면서 허위의 수령증과 영수증을 이용하여 444회에 걸쳐 총 238,884.6위안(40,247,270원)을 횡령하고 본인 급여통장에 입금하거나 지인과 식사비에 지출하는 등 개인적인 용도로 사용"
고발,전라북도교육감은 2013년 상반기 및 2015년 상반기 근무성적평정 등 승진인사에 개입하여 자신이 원하는 직원을 승진시키기 위해 승진후보자 명부상 순위를 임의로 정하고 부하직원에게 자신이 정한대로 근무성적평정을 정하도록 지시하는 등 교육감이 정한 순위에 거꾸로 근무성적평정 서류를 작성하도록 하여 승진인사에 부당 개입 및 직권남용
고발,"부산광역시 소속기관의 전 분임재무관 및 출납원의 보조자가 소득세 원천징수액 등을 공금예금계좌가 아닌 보통예금계좌로 이체한 후 인출,송금하는 등의 방법으로 17회에 걸쳐 횡령하여, 해당 직원에 대해 고발조치"
고발,경기도체육회 전 직원이 사격장 사용료 현금 수입금을 빼돌려 자녀 등록금 등 개인 생활비로 모두 사용함
고발,전 화성도시공사 사장이 이사회 의결조차 없이 SPC 출자와 상관없는 토지매각대금에 대한 잔금이자를 면제하여 30억여 원 상당 금액 이상 위 공사에 손해를 끼침
고발,"특정업체의 대표이사가 중소기업 기술혁신개발사업 과제를 수행하면서 연구원이 실제 과제 수행에 참여하지 않았는데도 허위의 소득세원천징수확인서를 제출하여 연구개발비를 계속 지급받고, 연구개발비를 횡령한 후 개인적인 용도로 사용함"
고발,업체 대표이사가 정보통신산업진흥원에 허위의 사업계획서와 결과보고서를 제출하여 자신의 성과물을 표절하거나 연구개발을 중복수행하는 방법으로 출연금을 연구개발 중복 수행과 표절 등을 통해 편취함
고발,"?형법? 제356조(업무상 횡령), ?보조금 관리에 관한 법률? 제41조 및 제42조, ?지방재정법? 제97조 제2항 및 제4항 등에 해당하는 범죄 혐의가 있어 고발"
고발,물품을 납품받지 않고 허위 회계결의서를 작성하여 대금을 부당 지급한 후 업체로부터 과다지급한 대금을 돌려받아 사적으로 유용한 직원을 업무상 횡령 및 배임혐의로 검찰 고발
고발,"자신의 직위를 이용하여 계약업체에 특정업체를 소개하고 그 업체로부터 계약 물품을 구매, 납품토록 하는 등 형법 제123조에 따른 직권남용의 범죄 혐의가 있는 공무원 1인에 대하여 고발"
고발,"동강농공단지 조성사업과 동강농공단지 내 물류센터 건립사업 관련 보조금 부당교부 및 보조금 부정사용 방조, 물류센터 건립사업 보조금을 동강농공단지 조성사업에 사용가능하도록 계약을 체결한 관련자 고발"
고발,구미시 개발부담금 출납담당자가 2012년 2월부터 2014년 5월 사이에 4회에 걸쳐 시 보통예금계좌로 입금된 개발부담금 징수 수수료 등을 횡령하여 「형법」 제356조(업무상의 횡령과 배임)에 해당하는 범죄혐의가 있으므로 고발
고발,"□ 물품 구매업무 부당 처리 및 직원 창업기업에 특혜 제공 ① 물품 구매업무 처리 부적정 ○한국전기연구원(이하 “전기연”)의 '계약업무요령' 등에 따르면 계약 이행 여부를 검사하여 계약에 위반되거나 부당함이 없으면 정당한 대가를 지급하도록 되어 있고 - 전기연의 임직원은 자신의 지위를 직접 이용하여 자신이나 타인이 부당한 이익을 얻도록 해서는 아니됨 ○그런데 전기연은 '15년 6월부터 7월까지 의료기기 설계 제조업체인 ○○와 3건의 구매 계약(33백만 원)을 체결한 후 - 계약 상의 설계를 납품받지 않고 ○○로부터 과거에 구매했던 유사한 물품의 설계 등을 받아 '15년 8월 정상 납품받은 것처럼 처리(구매대금 3,344만원 지급)하였고 -위 계약과 관련된 전기연 소속 직원은 '15년 12월 ○○으로 하여금 복강경시스템 제품을 본인이 '15년 10월 창업한 □□(의료기기 제조업체)에 납품하도록 하였음 ② 중소기업 지원사업 연구원 배치 부적정 ○전기연의 '주요사업 운영지침' 등에 따르면 연구비 가운데 직접비(인건비 등)는 과제 수행에 직접 관련있는 용도로만 집행하도록 되어 있음 ○그런데 전기연은 □□가 신청한 연구과제를 '16년도 중소기업 지원사업의 사업과제로 선정하여 연구개발('16. 1～11월)을 추진하면서 -전기연에 위촉연구원으로 있는 러시아 연구원 2명을 위 연구개발 과제에 참여시키는 것으로 계획서를 작성하고 위 연구개발 기간('16. 1～11월)동안 위 2명에게 인건비로 총 1억 2,351만 원을 지급하였으나 - 위 2명은 실제 위 연구개발 과제에는 참여하지 않은 채 □□ 사무실에서 위 연구개발 과제와 무관한 □□ 업무를 한 것으로 확인 ※ 위 연구개발 과제와는 별도로 전기연 청년인턴연수생 1명에게 '16. 1월부터 8월까지 급여 1,108만원을 지급하였으나, 실제로는 □□에서 근무하면서 전기연과는 무관한 □□ 업무를 하였음 ③ 특허기술 사용 허용 부적정 ○위 연구개발의 '주요사업 협약서' 등에 따르면 연구개발로 얻은 특허 등 결과물은 전기연의 소유이며 □□가 이를 사용하고자 할 때는 적정한 기술료를 납부하도록 규정 ○그런데 □□는 '16. 10월 기술이전을 받지 않겠다고 포기하였다가 전기연이 기술 이전할 다른 업체를 모집하자, 자신이 특허의 중요한 아이디어를 제공하였다면서 특허 공동 출원 등을 요구 - 이에 전기연은 '17. 3월 □□를 특허 출원인으로 추가함에 따라 □□는 무상으로 특허를 사용할 수 있게 되었고 전기연은 특허 사용에 따른 기술료를 받지 못하게 되었음 (조치할 사항)한국전기연구원장에게 ① 허위 증빙을 붙여 한국전기연구원이 아닌 자신이 창업한 업체로 물품을 납품받거나 한국전기연구원의 인력 및 연구과제 성과물을 자신이 창업한 업체로 빼돌린 관련자들에 대해 문책요구 및 통보(인사자료) ② 구매대금만 지급하고 납품되지 않은 계약 금액(33백만 원)과 부당하게 지급된 한국전기연구원 직원 3명의 인건비(134백만 원)에 대하여 회수하는 방안을 마련하도록 통보 ③ 앞으로 연구과제 참여연구원 등이 다른 업체에 근무하게 하거나 규정 등을 위배하여 한국전기연구원 소유의 특허를 특정 업체에 무상 사용하게 하는 일이 없도록 하는 한편, 관련자들에 대해 주의 ※ 위 문책 및 통보(인사자료) 대상자를 사기 또는 업무상배임 혐의로 검찰에 고발"
고발,동료 공무원 등이 불법 개발행위를 하고 있다는 제보를 접수·처리하면서 현장조사를 통해 불법 석축(공작물)이 설치되어 있는 것을 확인하고도 불법행위가 없다는 허위의 검토보고서를 작성하여 불법행위자에 대한 고발조치 없이 종결처리하는 등 불법 개발행위를 묵인한 데 대한 고발
고발,종전부동산 매각 업무 부당 처리
고발,BG는 2015. 1. 30.부터 2017. 1. 1.까지 경기도 ⊙과 ▣팀장으로 근무하면서 2016년 12월 건설기술자 경력을 인정받기 위한 경력확인서를 작성하면서 자신이 수행하지 않은 공사·용역을 자신이 수행한 것으로 사실과 다르게 기재
고발,전력선하지 보상 용역과 관련하여 퇴직자에게 사실과 다른 실적증명서를 발급하거나 적격심사 시 업체 제출서류가 아닌 담당자가 임의로 제출받은 서류로 평가
고발,"달성군 보건소 소속의 요양 및 의료급여 수입금 출납담당자가 39,911,291원을 횡령하여 형법 제356조(업무 상의 횡령 또는 배임)에 따라 고발"
고발,"경상북도 소속 공무원이 사업부서 재직 중에 자신의 경력을 허위 작성하여 경력확인서 발급부서에 송부함으로써, 해당 허위 경력이 퇴직 후 취업한 업체의 PQ평가 등에 영향을 미침"
고발,"경상북도 ○원 급여 담당자는 소득세 원천징수액 등 2,778만 원을 횡령하여 자신의 채무변제에 사용"
고발,"′17. 6. 6. 서울지방교정청 ■교도소 A가 금품을 수수하였다는 신고가 접수되어 「청탁금지법」을 위반 여부를 조사한 바, 같은 법 제8조를 위반하여 금품을 수수한 사실이 확인되어 검찰총장에게 고발 조치함"
