label,text
주의,"비용 과소 적용으로 경제성 없는 출자회사에 투자 ①한국지역난방공사 사장은 ① 태백 바이오매스 발전사업의 신규투자를 검토하면서 주식회사 [가마] 의 설립·출자 여부를 결정하기 위한 사업타당성 분석 업무를 부당하게 처리한 B를 인사규정(한국지역난방공사 사규) 제29조에 따라 징계처분(경징계 이상)하고(문책) ② 주식회사 [가마]의 사업타당성 분석 업무를 소홀히 한 관련자(C, D)에게는 주의를 촉구(주의)"
주의,열공급 체계 환류 미흡한국지역난방공사 사장은 앞으로 열수요예측 정확도가 높아지지 않았는데도 마치 업무를 개선하여 향상된 것처럼 내·외부에 보고하는 일이 없도록 업무를 철저히 하고 관련자(A)에게는 주의를 촉구(주의)
주의,"임도노선의 종단기울기 허용치 위반 및 노면 포장 미실시산림자원법 시행규칙에 따르면 임도의 종단기울기(노면의 높낮이 차이)는 14 이하가 되도록 시공하되, 노면 포장을 할 경우 최대 18까지 허용되어있음에도 불구하고 2021~2024년 충청남도 등 3개 도에서 신설한 311개 임도의 종단기울기를 점검한 결과, 3.8㎞ 구간은 종단기울기가 18를 초과하도록 임도를 개설하였고 11.9㎞ 구간은 종단기울기가 14~18인데도 노면 포장 없이 준공처리"
주의,"산사태 원인조사 보고서 작성 업무 부당처리 및 관리·감독 부적정산림청은 '산림보호법' 등에 따라 산사태 원인조사 업무를 총괄 수행하면서 원인조사단 구성 및 원인조사 결과보고서 작성 등의 업무를 한국치산기술협회에 위탁하고 이와 관련, 한국치산기술협회는 산사태와 연관된 임도를 부실시공한 산림조합 소속 직원을 산사태 원인조사단에 포함시키는가 하면 민간전문가들이 ‘임도 부실시공이 산사태 발생을 초래했을 가능성이 있다’는 의견을 제시하였는데도 원인조사 결과보고서에 위 내용을 부당하게 제외하는 등 업무 부당 처리 그런데 산림청은 민간전문가 의견 등이 제대로 반영되었는지 여부를 검증하지 않은 채 한국치산기술협회가 작성한 원인조사 결과보고서를 그대로 인정하는 등 관리·감독 소홀"
주의,"공사 관리인력이 부족한 산림조합과 관행적 수의계약 체결산림청은 2011년 산림조합과의 관행적인 수의계약에 따른 유착관계 형성 및 산림사업 부실공사 등을 방지하기 위해 경쟁입찰을 확대하고, 산림조합의 기술자 보유 현황을 기준으로 최대 수주액을 관리하겠다는 내용의 제도개선 계획 수립 그러나, 산림조합의 수의계약 비율 및 수주금액이 계속 증가하는 등 지자체 등의 발주청은 행정상 편의를 이유로 공사 관리인력이 부족한 산림조합과 수의계약 관행을 지속 이로 인해 산림조합은 현장대리인 1명에게 최대 6개의 사업현장을 관리하도록 하는가 하면, 자격미달자에게 사업현장을 관리하도록 하는 등 임도 부실시공의 원인으로 작용"
주의,감사결과 처분요구 미이행 사립학교 등에 대한 사후관리 불철저광주광역시교육청은 사립고등학교 교원에 대해 중징계 등 처분요구를 하였으나 이를 미이행한 학교법인 등에 대한 실효성 있는 사후조치를 실시하지 않아 정직 3개월의 처분요구를 받은 교사 2명이 징계시효 도과로 징계의결 요구를 받지 않게 되었을 뿐만 아니라 징계시효 도과를 사유로 교장 자격을 부여받게 되는 결과 초래
주의,건설업체에 대한 실태조사 이행점검 및 행정처분 등 부적정국토부로부터 ‘영업정지 중 하도급계약’ 등 건설산업기본법 위반 의심업체를 통보받고도 7개 의심업체에 대하여 실태조사 없이 방치
주의,자본금 기준 심사업무 등 처리 부적정전문건설업 관련 실태조사 및 주기적 신고에서 자본금 기준을 심사하면서 재무제표에 의심자산이 있는데도 이에 대해 객관적인 증빙서류를 요구하거나 제대로 확인하지 않은 채 자본금 기준에 미달한 건설업체를 자본금 기준을 충족한 것으로 처리
주의,기술능력 기준 심사업무 처리 부적정건설업 관련 등록기준(기술능력 등)을 심사하면서 고용보험 “피보험자격 이력 내역서”를 제출받지 않아 다른 업체의 근무여부 등을 확인하지 못한 채 기술능력 기준을 충족한 것으로 처리
주의,건설업체에 대한 실태조사 이행점검 및 행정처분 등 부적정정보센터로부터 보증가능금액확인서가 실효된 사실을 통보받고 영업정지(6개월) 처분한 후 영업정지 종료일 이후에 보증가능금액확인서가 실효상태에 있는데도 등록말소 처분을 하지 않음 또한 보증가능금액확인서가 실효된 사실을 다시 통보받고도 등록말소하지 않고 영업정지(6개월) 처분
주의,"건설업체에 대한 실태조사 이행점검 및 행정처분 등 부적정담당자가 건설산업기본법 위반 의심업체로 국토부로부터 통보받은 35건의 위반행위에 대하여 관리기간동안 실태조사를 실시하지 않았고, 그 후임자도 의심업체로 통보받은 20건의 위반행위를 조사하지 않는 등 계 55건(35개 의심업체)의 위반행위를 실태조사 없이 그대로 방치"
주의,건설업체에 대한 실태조사 이행점검 및 행정처분 등 부적정담당자가 정보센터로부터 건설업체의 보증가능금액확인서가 실효된 사실을 통보받고도 다른 사유(자본금 기준 미달)로 영업정지(5개월) 중이라는 이유로 관리기간동안 별다른 조치를 하지 아니하다가 후임자가 정보센터로부터 동일한 위반사항(보증가능금액확인서 실효)을 통보받은 후 영업정지(5개월) 처분하는 등 지연 처리
주의,건설업체에 대한 실태조사 이행점검 및 행정처분 등 부적정하도금대금 미지급 위반으로 시정명령을 받은 건설업체가 동일한 위반행위를 하였는데도 영업정지 처분 없이 5회에 걸쳐 시정명령만 반복
주의,건설업체에 대한 실태조사 이행점검 및 행정처분 등 부적정건설업체가 건설업 등록기준(자본금)에 미달한 데 대하여 영업정지(4개월) 처분 후 3년 이내에 동일한 위반행위가 다시 발생하였는데도 등록말소 처분하지 않고 영업정지(6개월) 처분
주의,"경영정상화계획 이행약정 목표설정 불철저예금보험공사는 수협은행과 서울보증보험의 경영정상화계획 이행약정 목표설정 시 비용항목에서 차감하여야 할 수당, 예산불용액 등을 차감하지 않아 경영정상화계획 이행약정 목표를 정당한 목표보다 높게 설정한 결과 수협은행과 서울보증보험의 경비 절감을 유도하지 못함"
주의,경영정상화계획 이행약정 실적보고 및 점검 불철저예금보험공사는 수협은행의 2012년도 총자산순이익률 실적을 점검하면서 수협은행이 IT비용을 총자산순이익률 실적에 과다 반영하거나 대손충당금을 부족 적립하여 정당한 총자산순이익률 실적보다 실적을 높게 산정하였는데도 이를 알지 못한 채 총자산순이익률 실적을 그대로 받아들여 수협은행에 대한 제재 조치 누락
주의,♤♤주식회사에 대한 여신심사 불철저♤♤주식회사에 대한 대출기간 연장심사 시 최초 대출 시의 담보인정비율을 적용하면서도 그 사유 등을 심사서에 기재하지 않고 심의회에 부의하여 대출기간 연장승인
주의,"신용보증서 담보대출 심사 불철저수협은행은 2013년 3월 신용보증서 담보 기업시설자금 대출(1,750백만 원)심사를 하면서 신용보증기금의 보증약관 및 보증특약에 어긋나게 대출을 실행하여 신용보증기금으로부터 보증금 425백만 원을 받지 못하는 손실 발생"
주의,"대출채권 자산건전성 분류 및 대손충당금 적립 불철저수협은행은 ""은행업 감독규정 및 자산건전성분류"" 및 ""대손충당금적립기준 규정""에 어긋나게 대출채권의 자산건전성을 분류하여 2015년도의 경우 대손충당금 121억 원 부족 적립 및 당기순이익 91억 원 과다 산정"
주의,"수산업협동조합중앙회 일반사업 관리비 부담 부적정수협은행은 수협중앙회와 공동으로 이용하지 않는 부서의 비용이나 이미 비용을 부담한 부서의 비용도 일반사업관리비로 부담하는 등 2015년부터 2016년 9월까지 계 3,553백만 원의 비용을 과다하게 부담하였고, 예금보험공사는 이러한 수협은행의 일반관리비 과다 부담을 알지 못한 채 지도·감독 미흡"
주의,"전산운영비 배분 부적정○ 수협은행은 업무전산화추진실무위원회에서 2개 전산시스템의 운영비를 회원조합에 비용배분하는 것으로 의결하고도 2015년 말까지 251백만 원의 비용배분 누락, 또한 수협은행이 단독 개발한 4개 시스템을 회원조합이 이용하고 있는데도 운영비 배분을 위한 업무전산화추진실무위원회 안건 미부의"
주의,영어자금 면제이자 산정 부적정○ 수협은행은 해양수산부에 태풍 등으로 수산피해를 입은 어민에게 면제한 영어자금 대출이자의 이차보전을 받으면서 종전 피해와 신규 피해의 이자면제 기간을 중복 산정하여 해양수산부에 이자 105백만 원을 과다하게 청구하여 수령
주의,국가산업단지 입주계약 체결 및 사후관리 업무 부당 처리앞으로 업체들이 「산업집적활성화 및 공장설립에 관한 법률」 등에 의해 정해진 용도별 구역에 위배되게 산업단지에 입주하는 일이 없도록 산업단지 관리에 대한 지도·감독 업무를 철저히 하시기 바람
주의,"정부지원금 지원대상 선정 및 사후관리 부적정앞으로는 “국제 지식재산권 분쟁 예방컨설팅 지원사업”을 추진하면서 대상 중소기업이 사실과 다르게 현금을 직접 부담한 것처럼 증거서류를 제출하여 지원대상으로 선정되거나, 중소기업과 컨설팅 계약을 체결한 특허법률사무소와 특허법인 등이 연구원을 허위로 등록하는 등의 부당한 방법으로 지원금을 지급받는 일이 없도록 관리·감독을 철저히 하시기 바람"
주의,승진 인사 명목의 부당한 금품 제공 및 수수앞으로 소방안전본부 소속 직원들이 승진 인사 명목으로 금전을 갹출하여 상급자에게 제공하는 일이 없도록 주의
주의,도시관리계획 수립 용역 감독 및 도시관리계획 결정 부적정「국토의 계획 및 이용에 관한 법률」 등에 위배되게 도시관리계획을 결정하는 일이 없도록 하는 한편 용역계약업체가 과업지시의 내용을 위배하여 용역을 부실하게 수행하는 일이 없도록 용역계약 감독업무를 철저히 하도록 주의
주의,군산시 국가정보통신망 구축 사업 제안서 평가 부적정입찰공고된 제안서 평가기준과 다르게 제안서를 평가하는 일이 없도록 관련 업무를 철저히 하고 관련자에게는 주의를 촉구하시기 바람
주의,"LED가로등 교체사업 협약 체결 업무 등 부적정앞으로 LED가로등 교체사업 관련 협약을 체결하고 이를 이행 할 때에는 투자사업비 항목 및 이자, 이윤 등 투자사업비 산정업무 및 설치 공사 지도·감독 업무를 철저히 하고 관련자에게는 주의를 촉구하시기 바람"
주의,갈사만 조선산업단지 조성사업 등 부당 추진AI에게 대학교 기숙사 등 건립공사 계약 업무와 관련하여 수의계약 사유에 해당되지 않은데도 수의계약을 체결하는 일이 재발되지 않도록 엄중하게 주의를 촉구하시기 바람
